Packet ID,TIME,Size,eth.src,eth.dst,IP.src,IP.dst,IP.proto,port.src,port.dst
143264,1645404104,776,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,162.125.19.131,6,53166,443
143265,1645404104,1494,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,162.125.19.131,6,53166,443
145810,1645404105,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,162.125.19.131,149.171.144.58,6,443,53166
145811,1645404105,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,162.125.19.131,149.171.144.58,6,443,53166
147858,1645404105,123,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54638
148234,1645404105,123,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,148.66.234.220,6,54638,443
150995,1645404105,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54638
166483,1645404106,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,89.248.163.140,149.171.144.58,6,48063,8520
168655,1645404106,123,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54641
168666,1645404106,123,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,148.66.234.220,6,54641,443
171364,1645404107,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54641
181541,1645404108,87,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.108.40.15,149.171.144.58,6,443,52732
182138,1645404108,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,52.108.40.15,6,52732,443
183271,1645404108,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,74.125.200.188,6,56259,5228
184153,1645404108,66,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,74.125.200.188,149.171.144.58,6,5228,56259
185586,1645404108,112,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,52.114.44.83,6,61330,443
186837,1645404108,101,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.114.44.83,149.171.144.58,6,443,61330
187313,1645404108,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,52.114.44.83,6,61330,443
192006,1645404109,123,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54638
192269,1645404109,123,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,148.66.234.220,6,54638,443
